instance, cost, time
4.2, 512, 0.463163
4.3, 516, 1.068747
4.4, 495, 0.345597
4.5, 512, 7.030483
4.6, 560, 0.539717
4.7, 432, 0.231422
4.8, 493, 0.196510
4.9, 644, 1.146874
5.1, 253, 0.572034
5.2, 303, 5.988299
5.3, 228, 0.993799
5.4, 242, 0.242390
5.5, 211, 0.567797
5.6, 213, 0.244111
5.7, 293, 0.372971
5.8, 288, 0.447763
5.9, 280, 0.143738
6.1, 138, 1.072901
6.2, 147, 0.051720
6.3, 145, 1.293809
6.4, 131, 0.052296
6.5, 161, 0.710706
A.1, 255, 1.249142
A.2, 252, 6.080437
A.3, 233, 3.958246
A.4, 235, 1.092969
A.5, 236, 1.620056
B.1, 70, 0.411632
B.2, 76, 0.641807
B.3, 80, 0.219384
B.4, 79, 3.144793
B.5, 72, 0.417172
C.1, 229, 3.443391
C.2, 220, 6.984966
C.3, 244, 6.625252
C.4, 219, 2.731204
C.5, 215, 7.629188
D.1, 61, 1.468468
D.2, 67, 1.466448
D.3, 72, 6.204809
D.4, 63, 0.399197
D.5, 61, 0.763728
NRE.1, 29, 3.486656
NRE.2, 31, 2.182415
NRE.3, 27, 6.619183
NRE.4, 28, 7.016438
NRE.5, 28, 3.485668
NRF.1, 15, 1.930286
NRF.2, 16, 1.011157
NRF.3, 15, 2.012341
NRF.4, 14, 7.274980
NRF.5, 14, 9.837624
NRG.1, 185, 6.251950
NRG.2, 160, 7.745216
NRG.3, 175, 9.707926
NRG.4, 175, 9.370166
NRG.5, 173, 11.275698
NRH.1, 66, 11.499350
NRH.2, 67, 7.214480
NRH.3, 66, 7.063600
NRH.4, 62, 11.508896
NRH.5, 59, 9.175408
