instance, cost, time
4.2, 512, 1.531400
4.3, 516, 0.446771
4.4, 495, 0.311894
4.5, 514, 0.268248
4.6, 560, 1.733711
4.7, 432, 1.168344
4.8, 493, 0.133935
4.9, 645, 1.108050
5.1, 253, 0.766837
5.2, 306, 2.764189
5.3, 226, 0.862310
5.4, 242, 0.231698
5.5, 211, 0.320425
5.6, 213, 0.324768
5.7, 293, 2.861090
5.8, 288, 0.083167
5.9, 279, 0.971065
6.1, 138, 0.647911
6.2, 146, 0.818391
6.3, 145, 1.923672
6.4, 131, 0.224235
6.5, 164, 0.839546
A.1, 254, 4.349003
A.2, 252, 8.055235
A.3, 233, 2.533057
A.4, 234, 2.029468
A.5, 236, 1.486575
B.1, 69, 1.230124
B.2, 76, 0.871021
B.3, 80, 3.865086
B.4, 79, 1.350557
B.5, 72, 0.489812
C.1, 227, 7.542642
C.2, 219, 1.840893
C.3, 244, 7.726291
C.4, 221, 6.973886
C.5, 215, 2.975306
D.1, 61, 1.902739
D.2, 67, 2.733613
D.3, 72, 5.809517
D.4, 62, 1.690546
D.5, 61, 3.411852
NRE.1, 29, 2.332178
NRE.2, 31, 4.711277
NRE.3, 28, 1.524364
NRE.4, 29, 3.118733
NRE.5, 28, 6.013446
NRF.1, 14, 2.064204
NRF.2, 15, 1.008996
NRF.3, 15, 4.353000
NRF.4, 15, 3.080657
NRF.5, 14, 2.986581
NRG.1, 177, 52.799839
NRG.2, 156, 67.652544
NRG.3, 169, 57.838419
NRG.4, 174, 93.722925
NRG.5, 169, 92.856755
NRH.1, 65, 55.352889
NRH.2, 66, 121.123310
NRH.3, 62, 38.986019
NRH.4, 61, 82.291301
NRH.5, 55, 27.336280
