instance, cost, time
4.2, 512, 0.970874
4.3, 516, 0.546446
4.4, 495, 0.500865
4.5, 512, 5.977490
4.6, 561, 3.190010
4.7, 430, 4.118998
4.8, 493, 0.288891
4.9, 655, 0.716216
5.1, 255, 2.987949
5.2, 310, 1.006686
5.3, 228, 3.533126
5.4, 243, 4.641690
5.5, 211, 1.902018
5.6, 213, 0.773277
5.7, 293, 0.713232
5.8, 289, 2.581592
5.9, 280, 3.943147
6.1, 138, 4.463506
6.2, 146, 0.944670
6.3, 145, 0.410195
6.4, 131, 1.904192
6.5, 161, 1.110611
A.1, 255, 1.030450
A.2, 257, 7.891425
A.3, 235, 2.485933
A.4, 234, 3.028238
A.5, 237, 1.034681
B.1, 69, 1.534085
B.2, 76, 2.094030
B.3, 80, 1.303785
B.4, 79, 1.837768
B.5, 72, 1.419586
C.1, 232, 3.066815
C.2, 219, 1.609592
C.3, 247, 4.957003
C.4, 219, 1.799627
C.5, 215, 2.359112
D.1, 60, 2.626011
D.2, 67, 2.270465
D.3, 72, 3.149504
D.4, 62, 4.023714
D.5, 62, 2.478781
NRE.1, 29, 2.934135
NRE.2, 30, 8.257005
NRE.3, 28, 8.453900
NRE.4, 29, 5.647103
NRE.5, 28, 2.217075
NRF.1, 15, 6.253083
NRF.2, 15, 10.009370
NRF.3, 15, 7.608371
NRF.4, 15, 5.939502
NRF.5, 14, 8.968071
NRG.1, 179, 6.985179
NRG.2, 160, 8.051278
NRG.3, 172, 6.923415
NRG.4, 173, 6.890828
NRG.5, 174, 8.993096
NRH.1, 67, 9.289057
NRH.2, 65, 9.637202
NRH.3, 63, 9.607319
NRH.4, 62, 9.262086
NRH.5, 58, 9.776167
