instance, cost, time
4.2, 512, 0.557701
4.3, 516, 1.824012
4.4, 502, 1.027765
4.5, 512, 1.741070
4.6, 561, 1.591056
4.7, 430, 0.907044
4.8, 493, 0.295914
4.9, 654, 1.084058
5.1, 253, 1.215550
5.2, 308, 1.858934
5.3, 229, 0.363040
5.4, 244, 0.569495
5.5, 212, 0.579585
5.6, 213, 0.690307
5.7, 294, 0.843961
5.8, 290, 0.649252
5.9, 281, 1.283548
6.1, 141, 0.338386
6.2, 148, 0.553049
6.3, 145, 0.540486
6.4, 131, 1.354426
6.5, 161, 0.485576
A.1, 254, 1.999932
A.2, 256, 3.692062
A.3, 234, 1.848371
A.4, 234, 0.992093
A.5, 237, 1.340489
B.1, 69, 1.925090
B.2, 76, 1.276043
B.3, 80, 1.420485
B.4, 79, 2.749050
B.5, 72, 0.984148
C.1, 231, 9.907275
C.2, 219, 9.868071
C.3, 251, 2.146056
C.4, 219, 3.819748
C.5, 215, 2.117754
D.1, 60, 3.574022
D.2, 67, 2.501699
D.3, 73, 2.807656
D.4, 62, 2.930684
D.5, 61, 8.135296
NRE.1, 29, 3.239826
NRE.2, 30, 21.833952
NRE.3, 28, 4.562503
NRE.4, 28, 22.041824
NRE.5, 28, 4.234885
NRF.1, 14, 12.585410
NRF.2, 15, 7.176222
NRF.3, 14, 29.593378
NRF.4, 15, 7.816141
NRF.5, 14, 11.692381
NRG.1, 180, 6.638815
NRG.2, 158, 6.263488
NRG.3, 170, 39.074455
NRG.4, 172, 23.146410
NRG.5, 168, 18.748350
NRH.1, 64, 68.881388
NRH.2, 64, 12.001034
NRH.3, 61, 12.440494
NRH.4, 59, 16.244654
NRH.5, 57, 23.544074
