instance, cost, time
4.2, 512, 0.455131
4.3, 516, 1.118553
4.4, 495, 0.338012
4.5, 514, 0.283332
4.6, 560, 0.549341
4.7, 432, 0.244266
4.8, 493, 0.235186
4.9, 644, 1.220442
5.1, 253, 0.593440
5.2, 304, 1.908598
5.3, 228, 0.893799
5.4, 242, 0.224565
5.5, 211, 0.481707
5.6, 213, 0.215643
5.7, 293, 0.361024
5.8, 288, 0.432677
5.9, 280, 0.138530
6.1, 138, 1.037150
6.2, 147, 0.049659
6.3, 145, 1.245156
6.4, 131, 0.055906
6.5, 161, 0.701195
A.1, 255, 1.211817
A.2, 252, 5.832607
A.3, 233, 3.822790
A.4, 235, 1.053826
A.5, 236, 1.565513
B.1, 70, 0.408921
B.2, 76, 0.610186
B.3, 80, 0.216141
B.4, 79, 3.022449
B.5, 72, 0.435887
C.1, 229, 3.337165
C.2, 220, 6.542356
C.3, 244, 6.348551
C.4, 219, 2.688193
C.5, 215, 7.305477
D.1, 61, 1.443938
D.2, 67, 1.432993
D.3, 72, 5.920398
D.4, 63, 0.432939
D.5, 61, 0.789975
NRE.1, 29, 3.389013
NRE.2, 31, 2.206520
NRE.3, 27, 6.730489
NRE.4, 28, 6.632505
NRE.5, 28, 3.339565
NRF.1, 14, 20.489346
NRF.2, 16, 0.988375
NRF.3, 15, 1.891886
NRF.4, 14, 7.010771
NRF.5, 14, 9.653712
NRG.1, 178, 30.915659
NRG.2, 158, 44.253674
NRG.3, 169, 79.483907
NRG.4, 169, 76.792379
NRG.5, 168, 25.403544
NRH.1, 65, 61.637243
NRH.2, 66, 17.121318
NRH.3, 62, 35.466551
NRH.4, 59, 55.905109
NRH.5, 58, 15.013814
