instance, cost, time
4.2, 512, 0.991443
4.3, 516, 0.570544
4.4, 495, 0.508868
4.5, 514, 0.255297
4.6, 563, 2.248341
4.7, 431, 0.726721
4.8, 493, 0.281583
4.9, 655, 0.730203
5.1, 260, 1.592560
5.2, 310, 1.051690
5.3, 229, 0.413671
5.4, 244, 0.671399
5.5, 211, 1.909912
5.6, 213, 0.768936
5.7, 293, 0.832246
5.8, 289, 2.829686
5.9, 284, 0.460451
6.1, 141, 0.485589
6.2, 146, 1.075699
6.3, 145, 0.475273
6.4, 132, 1.269000
6.5, 161, 1.121556
A.1, 255, 1.044939
A.2, 257, 7.970784
A.3, 235, 2.524045
A.4, 234, 3.075743
A.5, 237, 1.098532
B.1, 69, 1.560620
B.2, 76, 2.140637
B.3, 80, 1.432191
B.4, 79, 1.999132
B.5, 72, 1.403091
C.1, 232, 3.060941
C.2, 219, 1.648202
C.3, 247, 4.851930
C.4, 219, 1.778046
C.5, 215, 2.345729
D.1, 60, 2.581625
D.2, 67, 2.563822
D.3, 72, 3.609930
D.4, 62, 4.516309
D.5, 62, 2.517199
NRE.1, 29, 3.269898
NRE.2, 30, 8.633514
NRE.3, 28, 8.434288
NRE.4, 28, 17.144919
NRE.5, 28, 2.267994
NRF.1, 14, 12.127921
NRF.2, 15, 10.537332
NRF.3, 14, 12.007391
NRF.4, 14, 32.146885
NRF.5, 14, 9.053997
NRG.1, 178, 19.706297
NRG.2, 160, 7.938115
NRG.3, 171, 11.647649
NRG.4, 171, 12.017751
NRG.5, 174, 9.133054
NRH.1, 64, 116.297724
NRH.2, 64, 10.830117
NRH.3, 61, 11.695679
NRH.4, 60, 12.334609
NRH.5, 56, 19.599123
